Age,playerid,PA,K%,ISO,wOBA,LD%,GB%,FB%,Soft%,Med%,Hard%,batter,Pos,height,weight,game_year
27,1849,754,24.4%,0.195,0.368,15.4%,48.8%,35.8%,18.1%,46.1%,35.8%,430001,2B,72,210,2010
26,15362,248,9.7%,0.142,0.368,21.6%,38.7%,39.7%,22.0%,47.8%,30.2%,643446,2B,73,195,2018
40,1153,272,22.1%,0.228,0.368,28.3%,28.3%,43.3%,11.2%,45.5%,43.3%,113744,CF,73,190,2010
26,13110,540,18.9%,0.214,0.368,19.6%,40.5%,39.9%,18.0%,49.0%,33.0%,493316,LF,70,220,2012
24,11442,525,22.9%,0.253,0.368,21.1%,42.3%,36.6%,18.6%,44.5%,36.9%,596142,C,74,230,2017
28,4881,644,21.9%,0.193,0.368,21.6%,37.5%,40.9%,18.5%,45.5%,35.9%,460576,CF,75,220,2014
24,11477,659,20.9%,0.185,0.367,23.4%,56.5%,20.0%,17.5%,44.5%,38.0%,592885,LF,75,195,2016
32,8001,620,19.4%,0.219,0.367,18.8%,48.4%,32.9%,22.6%,40.2%,37.2%,434670,SS,74,235,2016
29,13110,676,20.9%,0.251,0.367,20.4%,41.7%,37.9%,14.1%,50.1%,35.8%,493316,LF,70,220,2015
30,6364,378,21.2%,0.229,0.367,17.2%,52.4%,30.3%,14.9%,49.6%,35.5%,502143,3B,74,210,2015
31,3057,578,32.4%,0.223,0.367,24.4%,36.9%,38.8%,11.2%,47.4%,41.4%,435063,1B,73,225,2013
30,4062,551,22.5%,0.171,0.367,23.8%,40.7%,35.5%,17.5%,51.9%,30.6%,451594,CF,77,195,2016
34,8267,316,27.5%,0.257,0.367,20.4%,37.1%,42.5%,19.4%,45.2%,35.5%,455104,C,72,230,2017
27,5452,221,24.9%,0.242,0.367,21.3%,43.4%,35.3%,13.9%,42.3%,43.8%,596847,1B,73,250,2018
25,9368,574,16.2%,0.251,0.367,18.0%,37.3%,44.7%,21.5%,48.4%,30.1%,446334,3B,73,215,2011
32,4106,637,10.4%,0.191,0.367,23.9%,45.3%,30.8%,13.3%,44.8%,41.9%,488726,LF,74,200,2019
22,13744,237,24.9%,0.185,0.367,21.5%,45.4%,33.1%,15.3%,52.2%,32.5%,621311,LF,74,205,2016
30,10762,279,20.1%,0.262,0.367,25.1%,36.2%,38.6%,21.3%,40.1%,38.7%,572816,LF,73,210,2019
27,10339,497,22.9%,0.236,0.367,21.1%,41.3%,37.6%,17.2%,48.4%,34.4%,571697,2B,70,185,2017
27,14274,683,21.7%,0.208,0.367,21.3%,42.4%,36.3%,16.0%,46.8%,37.1%,571745,RF,74,215,2018
25,12979,645,25.9%,0.264,0.366,22.1%,45.6%,32.3%,19.4%,44.8%,35.8%,595879,SS,72,190,2018
29,7571,95,12.6%,0.131,0.366,23.9%,29.6%,46.5%,19.2%,39.7%,41.1%,502082,3B,74,190,2018
33,6265,445,16.9%,0.192,0.366,26.3%,38.4%,35.3%,18.0%,49.2%,32.8%,444843,RF,74,210,2015
27,13288,74,29.7%,0.258,0.366,28.9%,33.3%,37.8%,8.9%,44.4%,46.7%,598284,LF,76,235,2018
24,13499,39,25.6%,0.286,0.366,16.7%,33.3%,50.0%,20.0%,32.0%,48.0%,608596,C,73,218,2015
23,11493,696,17.2%,0.239,0.366,20.0%,37.3%,42.7%,21.7%,42.9%,35.4%,592518,3B,75,215,2016
27,3787,670,24.0%,0.22,0.366,18.9%,38.4%,42.7%,16.0%,45.2%,38.8%,431151,3B,72,205,2010
35,1002,351,15.7%,0.178,0.366,19.4%,41.3%,39.3%,15.9%,48.0%,36.1%,133380,3B,73,205,2013
32,1935,517,19.3%,0.202,0.366,20.0%,41.8%,38.2%,17.6%,48.7%,33.7%,425903,3B,73,220,2011
31,3410,568,20.2%,0.213,0.366,19.3%,49.6%,31.0%,14.2%,49.5%,36.3%,460075,LF,74,205,2015
30,1825,394,11.9%,0.125,0.366,20.9%,46.8%,32.2%,12.9%,55.3%,31.7%,430203,RF,71,190,2010
30,2530,521,22.6%,0.235,0.366,22.8%,33.9%,43.2%,13.2%,50.8%,36.0%,475174,1B,73,230,2017
24,13590,334,13.8%,0.132,0.366,24.0%,42.1%,33.9%,11.8%,44.3%,43.9%,608385,LF,75,215,2018
30,9166,568,11.6%,0.142,0.366,23.3%,43.6%,33.0%,14.1%,52.9%,33.0%,457763,C,73,210,2017
30,5450,536,17.4%,0.142,0.366,26.1%,34.2%,39.6%,11.7%,54.1%,34.2%,537953,LF,70,195,2013
26,11579,682,26.1%,0.25,0.365,23.9%,38.3%,37.8%,10.5%,41.4%,48.1%,547180,RF,75,220,2019
29,9549,567,21.5%,0.174,0.365,21.8%,52.0%,26.2%,9.7%,54.3%,36.0%,501896,3B,74,213,2012
31,7435,668,15.4%,0.202,0.365,21.8%,43.2%,34.9%,15.7%,53.7%,30.6%,450314,2B,75,210,2012
27,3501,216,28.7%,0.247,0.365,17.4%,32.2%,50.4%,19.2%,49.2%,31.5%,452121,2B,71,185,2011
23,9892,573,23.7%,0.212,0.365,20.1%,36.2%,43.7%,15.6%,47.1%,37.3%,457803,RF,75,225,2010
26,8202,550,14.7%,0.175,0.365,24.0%,37.3%,38.7%,14.9%,53.3%,31.8%,543281,2B,68,185,2014
30,9112,654,26.8%,0.302,0.365,15.9%,35.3%,48.8%,10.8%,43.9%,45.3%,501981,LF,71,203,2018
30,9893,129,34.9%,0.298,0.365,26.7%,30.7%,42.7%,15.6%,37.7%,46.8%,458675,CF,74,195,2017
20,14162,432,18.1%,0.233,0.365,22.4%,48.6%,29.1%,20.8%,46.3%,32.9%,621043,SS,76,215,2015
26,9893,458,29.5%,0.225,0.365,22.0%,33.0%,45.0%,14.8%,46.6%,38.5%,458675,CF,74,195,2013
24,9393,319,25.1%,0.22,0.365,19.4%,44.4%,36.1%,11.1%,48.6%,40.3%,571431,1B,75,245,2013
32,3174,653,22.5%,0.187,0.365,20.7%,50.9%,28.5%,14.9%,52.3%,32.8%,425783,RF,71,210,2015
26,5310,452,25.9%,0.24,0.365,21.4%,39.5%,39.1%,14.7%,56.9%,28.4%,502125,RF,75,210,2012
27,5963,96,18.8%,0.151,0.365,22.4%,46.3%,31.3%,10.1%,68.1%,21.7%,449082,LF,72,205,2012
24,13414,115,21.7%,0.19,0.365,22.2%,48.1%,29.6%,18.5%,49.4%,32.1%,592808,LF,69,192,2016
34,1274,595,16.5%,0.236,0.365,13.8%,46.0%,40.2%,18.6%,44.8%,36.6%,121347,3B,75,230,2010
25,10264,571,21.9%,0.193,0.365,24.3%,34.4%,41.3%,14.7%,48.5%,36.9%,474832,1B,76,235,2013
26,2539,26,15.4%,0.13,0.365,42.1%,36.8%,21.1%,26.3%,36.8%,36.8%,518902,SS,72,190,2014
28,4298,112,17.0%,0.192,0.365,29.9%,27.6%,42.5%,12.6%,48.3%,39.1%,446308,C,77,235,2014
27,3531,203,9.4%,0.199,0.364,16.7%,46.3%,37.0%,19.0%,54.0%,27.0%,453064,SS,75,205,2012
28,6274,483,17.4%,0.245,0.364,14.3%,32.2%,53.5%,24.6%,46.8%,28.7%,435041,LF,73,235,2011
24,15447,283,21.2%,0.219,0.364,19.6%,41.6%,38.8%,19.5%,50.5%,30.0%,592387,1B,77,225,2016
35,19198,612,10.6%,0.243,0.364,22.4%,38.2%,39.4%,17.8%,43.6%,38.6%,493329,1B,72,190,2019
31,393,538,9.7%,0.191,0.364,17.0%,41.0%,41.9%,16.1%,52.7%,31.2%,400121,C,74,235,2010
27,2396,642,17.1%,0.187,0.364,21.8%,42.5%,35.7%,15.4%,52.9%,31.7%,467793,1B,71,210,2013
22,16478,273,28.2%,0.241,0.364,17.3%,40.4%,42.3%,15.4%,44.9%,39.7%,656941,LF,72,235,2015
32,3882,227,22.0%,0.222,0.364,24.8%,25.5%,49.7%,23.5%,39.2%,37.3%,455759,CF,74,200,2016
31,5887,216,18.1%,0.173,0.364,21.6%,52.7%,25.7%,15.5%,46.6%,37.8%,444379,C,74,202,2015
29,6195,723,9.8%,0.223,0.364,17.6%,35.3%,47.1%,20.4%,50.8%,28.8%,435079,2B,72,200,2011
23,13624,613,21.4%,0.184,0.364,24.8%,42.1%,33.1%,12.9%,43.1%,44.0%,608369,SS,76,215,2017
35,950,579,24.9%,0.22,0.364,23.8%,39.2%,37.0%,14.9%,44.7%,40.4%,407781,CF,72,245,2013
32,8610,639,16.1%,0.195,0.364,20.4%,44.9%,34.7%,14.3%,50.4%,35.3%,434778,1B,73,242,2015
25,13744,413,26.6%,0.222,0.364,26.1%,41.4%,32.5%,13.3%,49.8%,36.9%,621311,LF,74,205,2019
24,13367,256,21.9%,0.189,0.364,21.2%,45.3%,33.5%,15.6%,45.8%,38.6%,572039,RF,76,205,2015
24,15674,105,17.1%,0.227,0.364,28.2%,39.7%,32.1%,16.5%,51.9%,31.7%,624512,C,72,215,2019
21,3917,106,23.6%,0.212,0.364,19.0%,41.8%,39.2%,16.5%,48.1%,35.4%,493364,LF,71,240,2010
23,10339,230,18.3%,0.155,0.364,24.4%,39.0%,36.6%,17.0%,48.0%,35.0%,571697,2B,70,185,2013
25,5361,481,20.4%,0.195,0.364,27.8%,36.6%,35.6%,10.6%,50.9%,38.4%,518692,1B,77,220,2015
35,3269,348,13.5%,0.168,0.364,22.6%,47.9%,29.4%,11.3%,47.2%,41.5%,429664,2B,72,210,2018
23,14128,532,36.8%,0.327,0.364,17.9%,27.9%,54.2%,14.7%,38.9%,46.4%,608336,LF,77,235,2017
40,409,324,28.4%,0.22,0.364,18.3%,44.6%,37.1%,19.4%,43.6%,37.1%,123272,1B,76,250,2011
21,11265,15,13.3%,0.214,0.364,16.7%,66.7%,16.7%,8.3%,50.0%,41.7%,570731,2B,73,225,2013
25,3353,261,21.1%,0.236,0.364,18.3%,32.9%,48.8%,15.2%,45.7%,39.0%,459964,RF,74,200,2010
29,7287,608,21.9%,0.269,0.364,16.5%,47.1%,36.5%,17.1%,48.8%,34.1%,471865,RF,73,220,2015
28,15274,296,24.0%,0.227,0.364,24.9%,41.8%,33.3%,15.8%,50.5%,33.7%,643565,LF,74,220,2019
24,9776,150,22.7%,0.235,0.364,21.0%,45.0%,34.0%,13.6%,59.2%,27.2%,543401,2B,71,200,2011
30,2113,236,14.8%,0.174,0.364,20.8%,43.7%,35.5%,22.3%,44.0%,33.7%,425491,C,73,220,2011
28,3364,573,22.7%,0.152,0.364,20.9%,43.0%,36.0%,14.8%,54.2%,31.0%,471083,C,71,221,2012
35,778,643,9.3%,0.196,0.364,18.4%,44.7%,36.9%,16.1%,47.7%,36.2%,115223,RF,75,235,2010
26,5222,641,26.7%,0.221,0.363,20.1%,39.7%,40.2%,17.4%,44.4%,38.2%,457708,LF,73,215,2014
31,1326,646,13.0%,0.242,0.363,15.9%,42.1%,41.9%,20.1%,40.9%,39.0%,150484,CF,73,230,2010
28,5417,599,13.2%,0.135,0.363,24.0%,46.0%,30.0%,16.6%,50.1%,33.3%,514888,2B,66,165,2018
28,3433,563,17.8%,0.142,0.363,26.9%,45.0%,28.1%,10.9%,56.2%,32.9%,501800,1B,74,215,2013
25,16472,660,22.7%,0.251,0.363,19.2%,29.1%,51.7%,19.9%,45.6%,34.5%,656555,1B,76,225,2018
28,9166,623,8.3%,0.153,0.363,22.3%,43.9%,33.8%,16.6%,48.6%,34.8%,457763,C,73,210,2015
31,6589,342,29.8%,0.24,0.363,24.4%,39.8%,35.8%,15.4%,41.6%,43.1%,446481,2B,72,200,2016
26,15172,518,21.0%,0.173,0.363,23.8%,48.6%,27.6%,17.9%,49.9%,32.2%,641313,SS,73,185,2019
24,9218,587,22.1%,0.204,0.363,23.9%,40.2%,35.9%,10.9%,50.1%,38.9%,502671,1B,75,225,2012
26,5254,389,24.7%,0.163,0.363,25.3%,37.8%,36.9%,17.4%,51.3%,31.4%,543257,LF,72,215,2016
27,4881,590,24.7%,0.222,0.363,21.3%,40.4%,38.3%,14.4%,48.6%,37.0%,460576,CF,75,220,2013
26,11737,678,22.3%,0.202,0.363,28.8%,35.4%,35.8%,12.1%,40.0%,47.9%,592206,3B,76,203,2018
31,4599,624,22.6%,0.201,0.363,22.3%,38.8%,39.0%,12.4%,52.2%,35.3%,430897,RF,72,195,2012
23,11608,36,30.6%,0.194,0.363,25.0%,40.0%,35.0%,15.0%,60.0%,25.0%,594555,3B,75,220,2014
27,5297,361,18.6%,0.209,0.363,15.7%,44.1%,40.3%,19.6%,49.6%,30.8%,543305,CF,73,202,2017
28,9785,676,16.0%,0.221,0.363,21.9%,36.1%,42.0%,14.7%,46.6%,38.7%,572122,3B,72,210,2016
33,8027,301,15.6%,0.21,0.363,17.7%,46.0%,36.3%,13.7%,46.9%,39.4%,452252,1B,74,195,2017
29,9205,601,24.8%,0.27,0.363,20.5%,33.3%,46.2%,17.5%,45.1%,37.4%,489149,1B,75,245,2017
24,5417,707,7.5%,0.112,0.363,22.8%,47.5%,29.7%,17.9%,58.2%,23.8%,514888,2B,66,165,2014
24,13770,47,14.9%,0.209,0.363,16.7%,66.7%,16.7%,8.3%,63.9%,27.8%,608701,2B,72,200,2015
24,11609,283,23.7%,0.206,0.363,17.9%,54.3%,27.7%,17.7%,50.0%,32.3%,575929,C,73,210,2016
24,11936,432,9.7%,0.144,0.363,23.0%,43.1%,33.8%,20.2%,49.9%,30.0%,605412,2B,73,200,2015
21,7304,158,12.7%,0.142,0.362,29.2%,41.5%,29.2%,20.8%,55.4%,23.9%,521692,C,76,240,2011
32,5223,269,26.8%,0.209,0.362,19.4%,41.2%,39.4%,20.4%,41.9%,37.7%,457727,CF,75,215,2019
28,9953,330,31.8%,0.315,0.362,15.5%,19.5%,64.9%,22.4%,37.9%,39.7%,572114,2B,69,180,2016
26,6885,547,20.7%,0.218,0.362,17.9%,47.6%,34.5%,15.0%,52.4%,32.7%,435622,SS,75,220,2012
36,2151,486,21.2%,0.287,0.362,18.6%,30.8%,50.6%,19.5%,40.6%,39.9%,429665,1B,73,230,2019
27,7158,196,15.8%,0.132,0.362,19.1%,48.5%,32.4%,17.6%,59.5%,23.0%,458913,LF,70,195,2012
30,7528,210,8.6%,0.113,0.362,24.3%,53.8%,22.0%,15.2%,58.4%,26.4%,435623,3B,72,190,2012
30,7007,541,10.2%,0.158,0.362,24.3%,41.9%,33.8%,12.4%,53.2%,34.4%,425877,C,71,205,2013
27,5273,283,23.3%,0.167,0.362,24.7%,44.1%,31.2%,19.8%,49.0%,31.3%,506702,C,70,225,2016
28,9927,37,18.9%,0.065,0.362,37.5%,37.5%,25.0%,16.0%,48.0%,36.0%,458731,LF,71,195,2012
30,8001,512,16.4%,0.165,0.362,21.0%,45.1%,33.9%,17.5%,49.7%,32.8%,434670,SS,74,235,2014
30,9810,705,20.0%,0.227,0.362,19.0%,38.4%,42.6%,15.9%,50.0%,34.1%,572821,2B,71,200,2017
25,11609,428,22.9%,0.223,0.362,17.4%,53.3%,29.3%,17.0%,47.5%,35.5%,575929,C,73,210,2017
30,7476,376,31.9%,0.183,0.362,27.6%,38.5%,33.9%,6.7%,44.6%,48.7%,488671,C,71,210,2017
27,11899,514,21.6%,0.289,0.362,17.4%,41.8%,40.9%,16.4%,38.4%,45.2%,592626,CF,73,220,2019
33,1327,344,16.6%,0.14,0.362,18.9%,42.2%,38.9%,14.3%,56.2%,29.5%,150029,RF,77,235,2012
28,10339,638,19.6%,0.18,0.362,23.6%,40.1%,36.2%,15.6%,45.6%,38.8%,571697,2B,70,185,2018
33,96,328,22.3%,0.255,0.362,11.1%,44.4%,44.4%,14.5%,50.2%,35.3%,116662,LF,73,225,2010
26,4810,566,17.3%,0.184,0.362,20.2%,36.9%,42.9%,16.6%,44.2%,39.2%,435263,C,75,225,2010
23,10322,430,22.8%,0.153,0.362,26.0%,45.9%,28.1%,23.6%,50.0%,26.5%,542454,CF,71,185,2014
33,4251,165,18.8%,0.259,0.362,21.6%,31.9%,46.6%,14.7%,44.0%,41.4%,452220,SS,72,220,2016
35,1274,428,18.7%,0.185,0.362,14.2%,48.6%,37.2%,24.0%,48.0%,28.0%,121347,3B,75,230,2011
30,7870,544,18.4%,0.208,0.362,24.2%,37.2%,38.7%,21.1%,43.5%,35.4%,518960,C,72,200,2016
26,8722,491,26.5%,0.209,0.361,25.2%,39.5%,35.3%,8.1%,54.7%,37.2%,488771,C,75,215,2013
28,1433,523,15.1%,0.189,0.361,20.4%,54.3%,25.3%,17.9%,46.7%,35.4%,467092,C,73,245,2016
30,1433,416,19.2%,0.181,0.361,20.4%,54.9%,24.7%,17.4%,43.4%,39.1%,467092,C,73,245,2018
30,7287,632,20.4%,0.207,0.361,21.3%,46.2%,32.5%,20.2%,42.8%,37.1%,471865,RF,73,220,2016
31,2090,640,14.4%,0.212,0.361,21.8%,40.0%,38.2%,14.1%,53.9%,32.1%,425567,RF,77,210,2012
21,13611,213,14.6%,0.153,0.361,20.9%,40.5%,38.6%,13.2%,50.9%,35.9%,605141,RF,69,180,2014
33,4229,334,20.4%,0.161,0.361,21.9%,57.8%,20.3%,17.2%,51.5%,31.4%,435062,2B,71,220,2017
26,13757,568,25.0%,0.208,0.361,22.6%,41.5%,35.8%,15.8%,51.7%,32.4%,621035,SS,73,196,2017
24,12164,483,35.8%,0.243,0.361,20.6%,38.9%,40.5%,13.5%,41.7%,44.8%,593934,3B,76,272,2017
28,2502,596,22.7%,0.228,0.361,20.4%,30.6%,49.0%,15.1%,43.6%,41.3%,446263,1B,76,255,2014
28,15676,668,21.0%,0.212,0.361,20.7%,47.3%,32.1%,16.9%,49.0%,34.2%,547989,1B,75,255,2015
31,1281,684,16.1%,0.246,0.361,18.3%,34.9%,46.8%,20.9%,48.9%,30.2%,407893,1B,75,225,2011
29,9112,652,29.9%,0.281,0.361,19.3%,38.4%,42.3%,13.5%,44.4%,42.1%,501981,LF,71,203,2017
23,13658,2,0.0%,0,0.361,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,605253,LF,67,165,2014
39,1274,620,23.4%,0.235,0.361,18.2%,43.1%,38.7%,12.2%,52.2%,35.6%,121347,3B,75,230,2015
23,15878,606,16.0%,0.23,0.361,20.2%,44.0%,35.8%,19.4%,44.6%,36.0%,609280,3B,72,215,2018
25,7244,171,26.9%,0.25,0.361,21.8%,40.0%,38.2%,10.9%,56.4%,32.7%,489138,1B,74,220,2012
27,11982,606,22.8%,0.24,0.361,19.9%,42.5%,37.6%,15.8%,47.0%,37.1%,543768,3B,76,230,2017
37,2434,591,20.6%,0.252,0.361,17.5%,44.0%,38.5%,16.3%,41.5%,42.3%,443558,RF,74,230,2018
30,11368,632,22.0%,0.222,0.361,22.9%,39.1%,38.0%,14.8%,39.8%,45.4%,518735,C,73,235,2019
32,1904,647,21.3%,0.238,0.361,22.3%,33.6%,44.1%,12.7%,50.0%,37.3%,425560,1B,74,205,2012
26,6368,697,18.1%,0.218,0.361,21.5%,46.0%,32.6%,17.0%,47.7%,35.3%,430945,CF,74,215,2012
24,12861,683,15.2%,0.186,0.361,20.4%,40.0%,39.6%,14.7%,47.5%,37.8%,543685,3B,73,200,2014
31,3269,665,10.2%,0.139,0.361,22.6%,52.6%,24.7%,17.9%,53.6%,28.5%,429664,2B,72,210,2014
31,8090,622,20.1%,0.209,0.361,22.3%,26.9%,50.8%,12.1%,45.7%,42.2%,572761,3B,75,205,2017
32,4063,112,19.6%,0.156,0.361,21.7%,30.4%,47.8%,15.3%,45.8%,38.9%,489232,C,74,240,2016
25,12856,451,24.2%,0.183,0.36,24.5%,45.4%,30.1%,19.7%,46.5%,33.8%,543807,RF,75,215,2015
34,1873,667,15.0%,0.169,0.36,16.6%,45.6%,37.8%,15.1%,45.8%,39.1%,407812,LF,76,240,2014
22,18568,366,7.9%,0.104,0.36,29.4%,41.5%,29.1%,12.3%,53.0%,34.7%,650333,2B,70,177,2019
31,4613,693,12.7%,0.158,0.36,18.3%,46.2%,35.5%,17.4%,50.4%,32.3%,425902,1B,71,275,2015
30,10950,130,30.0%,0.3,0.36,12.3%,27.2%,60.5%,15.9%,39.0%,45.1%,594807,LF,73,215,2019
30,4599,635,19.7%,0.188,0.36,21.8%,38.9%,39.4%,14.9%,54.6%,30.5%,430897,RF,72,195,2011
29,9077,604,16.2%,0.171,0.36,23.2%,45.5%,31.3%,13.4%,54.5%,32.2%,456715,CF,74,205,2015
27,9368,693,23.4%,0.23,0.36,18.6%,36.9%,44.5%,8.3%,50.4%,41.3%,446334,3B,73,215,2013
27,8610,211,14.7%,0.197,0.36,20.9%,47.9%,31.3%,12.3%,55.8%,31.9%,434778,1B,73,242,2010
30,9847,650,17.8%,0.207,0.36,21.9%,40.7%,37.4%,17.5%,47.3%,35.2%,457705,CF,71,195,2017
35,1744,157,17.2%,0.149,0.36,25.0%,54.6%,20.4%,10.2%,43.5%,46.3%,408234,1B,76,249,2018
25,15482,225,26.7%,0.317,0.36,20.4%,34.7%,44.9%,20.4%,40.8%,38.8%,606157,RF,76,220,2019
25,11287,33,9.1%,0.148,0.36,25.0%,37.5%,37.5%,11.1%,66.7%,22.2%,592407,C,72,214,2013
35,7435,631,13.0%,0.174,0.36,21.6%,48.0%,30.5%,15.4%,52.1%,32.5%,450314,2B,75,210,2016
31,4403,6,16.7%,0.167,0.36,60.0%,0.0%,40.0%,20.0%,40.0%,40.0%,456124,C,76,250,2011
27,15117,586,25.3%,0.243,0.36,21.6%,34.5%,43.9%,14.0%,40.8%,45.3%,641531,3B,76,220,2019
34,906,313,18.8%,0.216,0.36,23.3%,42.2%,34.5%,16.6%,47.5%,35.9%,136767,3B,73,215,2012
28,5297,581,19.1%,0.219,0.36,21.6%,40.0%,38.4%,18.6%,41.9%,39.5%,543305,CF,73,202,2018
40,97,448,11.4%,0.168,0.36,21.5%,46.0%,32.4%,12.1%,54.6%,33.3%,116706,3B,76,210,2012
28,14811,510,27.8%,0.2,0.36,25.7%,39.6%,34.7%,13.2%,47.9%,38.9%,572228,1B,75,225,2019
22,12179,335,15.5%,0.217,0.36,18.2%,47.0%,34.8%,22.1%,49.4%,28.5%,596748,3B,73,215,2015
32,1177,670,11.3%,0.231,0.36,18.8%,41.3%,39.9%,14.2%,52.3%,33.5%,405395,1B,75,235,2012
28,4949,705,29.9%,0.243,0.36,18.5%,45.0%,36.5%,19.0%,38.7%,42.3%,519317,RF,78,245,2018
24,5928,686,14.9%,0.131,0.36,21.5%,39.3%,39.3%,17.6%,58.2%,24.2%,435558,1B,72,215,2010
24,9847,678,18.6%,0.198,0.36,20.0%,38.4%,41.7%,19.2%,46.7%,34.1%,457705,CF,71,195,2011
22,14566,285,28.1%,0.218,0.36,21.0%,49.2%,29.8%,14.9%,40.9%,44.2%,614177,RF,77,275,2018
26,14274,410,22.7%,0.209,0.36,19.3%,44.0%,36.7%,17.7%,47.7%,34.7%,571745,RF,74,215,2017
24,11899,476,27.3%,0.249,0.36,20.6%,39.7%,39.7%,17.2%,44.1%,38.7%,592626,CF,73,220,2016
23,9777,467,12.4%,0.213,0.359,20.6%,37.6%,41.8%,17.1%,49.0%,34.0%,571448,3B,74,215,2014
22,16376,194,20.1%,0.236,0.359,22.6%,38.7%,38.7%,16.8%,42.3%,40.9%,624424,LF,73,215,2015
32,88,428,14.0%,0.159,0.359,20.3%,46.8%,32.9%,18.4%,52.9%,28.8%,279577,SS,68,195,2010
28,5930,471,10.8%,0.174,0.359,26.8%,41.8%,31.4%,12.0%,55.4%,32.6%,455976,RF,73,210,2012
26,11270,412,25.2%,0.245,0.359,19.3%,43.1%,37.5%,20.1%,43.5%,36.4%,571437,RF,77,215,2017
32,2434,456,23.9%,0.24,0.359,16.9%,41.9%,41.2%,12.7%,48.4%,39.0%,443558,RF,74,230,2013
36,589,600,15.0%,0.195,0.359,23.9%,35.2%,40.9%,15.3%,47.4%,37.4%,136860,RF,73,215,2013
33,3263,429,15.6%,0.176,0.359,15.6%,49.5%,34.9%,18.8%,50.0%,31.2%,493120,RF,72,200,2010
31,1849,286,25.5%,0.179,0.359,18.3%,56.7%,25.0%,16.7%,53.3%,30.0%,430001,2B,72,210,2014
32,9077,620,15.2%,0.109,0.359,22.4%,54.6%,23.0%,18.1%,43.6%,38.3%,456715,CF,74,205,2018
27,10264,556,26.4%,0.197,0.359,28.7%,33.3%,37.9%,11.5%,48.7%,39.8%,474832,1B,76,235,2015
31,4106,631,9.5%,0.16,0.359,24.7%,45.0%,30.3%,12.2%,50.7%,37.1%,488726,LF,74,200,2018
24,6050,122,23.8%,0.168,0.359,20.3%,48.1%,31.6%,16.5%,53.2%,30.4%,501213,RF,73,233,2013
33,1573,462,20.3%,0.172,0.359,19.3%,42.6%,38.0%,14.8%,51.5%,33.8%,400098,NA,75,240,2010
25,9627,322,20.8%,0.188,0.359,17.8%,43.5%,38.7%,14.4%,53.5%,32.2%,543228,C,74,215,2013
28,3473,665,12.0%,0.187,0.359,24.7%,37.9%,37.3%,16.6%,49.3%,34.1%,519203,1B,75,240,2018
23,18015,443,28.0%,0.247,0.359,23.5%,33.7%,42.9%,21.4%,42.2%,36.4%,657557,SS,72,200,2017
29,2502,554,24.9%,0.242,0.359,22.0%,27.4%,50.6%,11.3%,49.7%,39.0%,446263,1B,76,255,2015
29,3174,686,21.9%,0.159,0.359,23.3%,49.7%,27.1%,8.0%,61.9%,30.1%,425783,RF,71,210,2012
26,15429,457,23.4%,0.188,0.359,25.3%,34.0%,40.7%,19.0%,49.8%,31.2%,592178,3B,77,230,2018
32,3787,174,20.7%,0.145,0.359,25.0%,36.2%,38.8%,19.8%,45.7%,34.5%,431151,3B,72,205,2015
30,2967,570,24.6%,0.188,0.359,23.9%,48.0%,28.1%,12.6%,38.9%,48.5%,502054,LF,73,215,2018
30,4314,272,18.0%,0.155,0.359,26.7%,40.7%,32.6%,13.3%,54.3%,32.4%,458015,1B,74,220,2014
23,10472,218,21.1%,0.183,0.359,23.4%,46.2%,30.4%,12.6%,54.1%,33.3%,571771,CF,71,192,2015
23,9847,653,13.6%,0.163,0.359,18.8%,43.4%,37.8%,13.1%,48.9%,38.0%,457705,CF,71,195,2010
24,16357,63,17.5%,0.19,0.359,15.2%,47.8%,37.0%,19.2%,55.3%,25.5%,622569,LF,68,175,2018
30,7435,674,19.0%,0.201,0.359,19.6%,45.4%,35.0%,20.8%,49.7%,29.6%,450314,2B,75,210,2011
25,9241,545,24.0%,0.162,0.358,23.5%,47.3%,29.2%,17.6%,49.5%,33.0%,516782,LF,73,190,2014
22,16997,604,21.4%,0.256,0.358,20.9%,37.2%,41.9%,14.9%,45.6%,39.5%,650402,2B,73,200,2019
29,4613,712,16.4%,0.178,0.358,22.9%,40.9%,36.2%,16.8%,48.9%,34.3%,425902,1B,71,275,2013
27,5827,285,10.9%,0.17,0.358,24.7%,37.0%,38.3%,16.2%,46.0%,37.9%,527038,SS,75,205,2019
32,9847,262,21.0%,0.201,0.358,18.3%,45.1%,36.6%,12.8%,50.6%,36.6%,457705,CF,71,195,2019
32,1488,570,22.5%,0.211,0.358,21.8%,38.8%,39.4%,14.6%,49.0%,36.5%,400083,CF,70,195,2010
26,16376,648,23.0%,0.237,0.358,23.9%,36.1%,40.0%,13.6%,49.9%,36.5%,624424,LF,73,215,2019
30,1945,622,24.3%,0.237,0.358,19.3%,40.1%,40.6%,11.3%,50.5%,38.2%,430611,RF,78,240,2012
31,9134,370,22.2%,0.164,0.358,24.5%,42.2%,33.3%,18.1%,44.7%,37.1%,452095,C,76,260,2017
39,589,593,17.0%,0.217,0.358,20.9%,42.1%,37.0%,15.0%,49.2%,35.8%,136860,RF,73,215,2016
29,9328,424,32.1%,0.193,0.358,21.0%,44.4%,34.5%,14.0%,49.4%,36.6%,453211,CF,76,205,2014
